State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
punjab,2022,1,Merchant payments,25979197,23217511696
punjab,2022,1,Peer-to-peer payments,22354946,88645204328
punjab,2022,1,Recharge & bill payments,9188439,6317909908
punjab,2022,1,Financial Services,57561,83933665
punjab,2022,1,Others,178159,125418506
punjab,2022,4,Merchant payments,48358802,38162493193
punjab,2022,4,Peer-to-peer payments,32377106,1.21E+11
punjab,2022,4,Recharge & bill payments,10895208,9248445985
punjab,2022,4,Financial Services,62809,72160390
punjab,2022,4,Others,141255,111559653
punjab,2022,3,Merchant payments,43089589,32370885165
punjab,2022,3,Peer-to-peer payments,29862592,1.08E+11
punjab,2022,3,Recharge & bill payments,11017816,9119649328
punjab,2022,3,Financial Services,57979,68249938
punjab,2022,3,Others,149921,107280498
punjab,2020,2,Recharge & bill payments,6064807,3089758241
punjab,2020,2,Peer-to-peer payments,5639212,25074384847
punjab,2020,2,Merchant payments,2290868,2058898904
punjab,2020,2,Financial Services,23314,23704957
punjab,2020,2,Others,63093,37907301
punjab,2020,1,Peer-to-peer payments,6339183,26350005915
punjab,2020,1,Recharge & bill payments,4935115,2767419472
punjab,2020,1,Merchant payments,3838480,2196329615
punjab,2020,1,Financial Services,17924,10987850
punjab,2020,1,Others,87082,49442411
punjab,2020,4,Peer-to-peer payments,9609405,43286909256
punjab,2020,4,Merchant payments,7144295,6142380827
punjab,2020,4,Recharge & bill payments,6072201,4201551869
punjab,2020,4,Financial Services,38820,51677182
punjab,2020,4,Others,133204,92887343
punjab,2020,3,Peer-to-peer payments,7354451,32477438924
punjab,2020,3,Recharge & bill payments,5478668,4066750820
punjab,2020,3,Merchant payments,4261548,3490665357
punjab,2020,3,Financial Services,32390,42060249
punjab,2020,3,Others,82516,46176796
punjab,2018,2,Recharge & bill payments,1262450,395417027
punjab,2018,2,Peer-to-peer payments,1017159,4036457553
punjab,2018,2,Merchant payments,147667,159406610
punjab,2018,2,Financial Services,82256,17719391
punjab,2018,2,Others,71631,75671628
punjab,2018,1,Recharge & bill payments,946338,196018621
